"user_id","block","problem","x1","y1","y2","Choice","Sex","Age","Subject","Trial"
"04bu0ru465bRGC2mDSpL",1,"15",5,13.5,0,1,"male",25,1,1
"04bu0ru465bRGC2mDSpL",1,"10",3,6,0,1,"male",25,1,2
"04bu0ru465bRGC2mDSpL",1,"12",3,10.5,0,1,"male",25,1,3
"04bu0ru465bRGC2mDSpL",1,"7",1,2.7,0,1,"male",25,1,4
"04bu0ru465bRGC2mDSpL",1,"14",5,10,0,1,"male",25,1,5
"04bu0ru465bRGC2mDSpL",1,"5",1,1.4,0,0,"male",25,1,6
"04bu0ru465bRGC2mDSpL",1,"16",5,17.5,0,1,"male",25,1,7
"04bu0ru465bRGC2mDSpL",1,"200",10,5,0,0,"male",25,1,8
"04bu0ru465bRGC2mDSpL",1,"1",0.5,0.7,0,1,"male",25,1,9
"04bu0ru465bRGC2mDSpL",1,"13",5,7,0,0,"male",25,1,10
"04bu0ru465bRGC2mDSpL",1,"9",3,4.2,0,0,"male",25,1,11
"04bu0ru465bRGC2mDSpL",1,"4",0.5,1.75,0,1,"male",25,1,12
"04bu0ru465bRGC2mDSpL",1,"3",0.5,1.35,0,0,"male",25,1,13
"04bu0ru465bRGC2mDSpL",1,"2",0.5,1,0,1,"male",25,1,14
"04bu0ru465bRGC2mDSpL",1,"11",3,8.1,0,1,"male",25,1,15
"04bu0ru465bRGC2mDSpL",1,"6",1,2,0,0,"male",25,1,16
"04bu0ru465bRGC2mDSpL",1,"300",8,2,0,0,"male",25,1,17
"04bu0ru465bRGC2mDSpL",1,"8",1,3.5,0,1,"male",25,1,18
"04bu0ru465bRGC2mDSpL",2,"15",5,13.5,0,1,"male",25,1,19
"04bu0ru465bRGC2mDSpL",2,"10",3,6,0,1,"male",25,1,20
"04bu0ru465bRGC2mDSpL",2,"12",3,10.5,0,1,"male",25,1,21
"04bu0ru465bRGC2mDSpL",2,"7",1,2.7,0,1,"male",25,1,22
"04bu0ru465bRGC2mDSpL",2,"14",5,10,0,1,"male",25,1,23
"04bu0ru465bRGC2mDSpL",2,"5",1,1.4,0,0,"male",25,1,24
"04bu0ru465bRGC2mDSpL",2,"16",5,17.5,0,1,"male",25,1,25
"04bu0ru465bRGC2mDSpL",2,"200",10,5,0,0,"male",25,1,26
"04bu0ru465bRGC2mDSpL",2,"1",0.5,0.7,0,0,"male",25,1,27
"04bu0ru465bRGC2mDSpL",2,"13",5,7,0,1,"male",25,1,28
"04bu0ru465bRGC2mDSpL",2,"9",3,4.2,0,0,"male",25,1,29
"04bu0ru465bRGC2mDSpL",2,"4",0.5,1.75,0,0,"male",25,1,30
"04bu0ru465bRGC2mDSpL",2,"3",0.5,1.35,0,1,"male",25,1,31
"04bu0ru465bRGC2mDSpL",2,"2",0.5,1,0,0,"male",25,1,32
"04bu0ru465bRGC2mDSpL",2,"11",3,8.1,0,1,"male",25,1,33
"04bu0ru465bRGC2mDSpL",2,"6",1,2,0,0,"male",25,1,34
"04bu0ru465bRGC2mDSpL",2,"300",8,2,0,0,"male",25,1,35
"04bu0ru465bRGC2mDSpL",2,"8",1,3.5,0,1,"male",25,1,36
"04bu0ru465bRGC2mDSpL",3,"15",5,13.5,0,1,"male",25,1,37
"04bu0ru465bRGC2mDSpL",3,"10",3,6,0,1,"male",25,1,38
"04bu0ru465bRGC2mDSpL",3,"12",3,10.5,0,1,"male",25,1,39
"04bu0ru465bRGC2mDSpL",3,"7",1,2.7,0,0,"male",25,1,40
"04bu0ru465bRGC2mDSpL",3,"14",5,10,0,1,"male",25,1,41
"04bu0ru465bRGC2mDSpL",3,"5",1,1.4,0,0,"male",25,1,42
"04bu0ru465bRGC2mDSpL",3,"16",5,17.5,0,1,"male",25,1,43
"04bu0ru465bRGC2mDSpL",3,"200",10,5,0,0,"male",25,1,44
"04bu0ru465bRGC2mDSpL",3,"1",0.5,0.7,0,0,"male",25,1,45
"04bu0ru465bRGC2mDSpL",3,"13",5,7,0,0,"male",25,1,46
"04bu0ru465bRGC2mDSpL",3,"9",3,4.2,0,0,"male",25,1,47
"04bu0ru465bRGC2mDSpL",3,"4",0.5,1.75,0,0,"male",25,1,48
"04bu0ru465bRGC2mDSpL",3,"3",0.5,1.35,0,0,"male",25,1,49
"04bu0ru465bRGC2mDSpL",3,"2",0.5,1,0,0,"male",25,1,50
