user_id,block,problem,x1,y1,y2,Choice,Sex,Age,Subject,Trial
2ZCzvMm755xkcD84D3Bh,1,13,3,10,0,0,female,33,1,1
2ZCzvMm755xkcD84D3Bh,1,30,8,11,0,0,female,33,1,2
2ZCzvMm755xkcD84D3Bh,1,20,4,12,0,0,female,33,1,3
2ZCzvMm755xkcD84D3Bh,1,15,3,9,0,0,female,33,1,4
2ZCzvMm755xkcD84D3Bh,1,17,4,6,0,0,female,33,1,5
2ZCzvMm755xkcD84D3Bh,1,18,4,8,0,0,female,33,1,6
2ZCzvMm755xkcD84D3Bh,1,5,2,9,0,0,female,33,1,7
2ZCzvMm755xkcD84D3Bh,1,7,2,11,0,0,female,33,1,8
2ZCzvMm755xkcD84D3Bh,1,31,9,12,0,0,female,33,1,9
2ZCzvMm755xkcD84D3Bh,1,25,6,8,0,0,female,33,1,10
2ZCzvMm755xkcD84D3Bh,1,8,2,12,0,0,female,33,1,11
2ZCzvMm755xkcD84D3Bh,1,10,3,5,0,0,female,33,1,12
2ZCzvMm755xkcD84D3Bh,1,16,4,5,0,0,female,33,1,13
2ZCzvMm755xkcD84D3Bh,1,34,10,5,0,0,female,33,1,14
2ZCzvMm755xkcD84D3Bh,1,19,4,10,0,0,female,33,1,15
2ZCzvMm755xkcD84D3Bh,1,11,3,6,0,0,female,33,1,16
2ZCzvMm755xkcD84D3Bh,1,4,2,8,0,0,female,33,1,17
2ZCzvMm755xkcD84D3Bh,1,23,5,10,0,0,female,33,1,18
2ZCzvMm755xkcD84D3Bh,1,35,8,2,0,0,female,33,1,19
2ZCzvMm755xkcD84D3Bh,1,22,5,8,0,0,female,33,1,20
2ZCzvMm755xkcD84D3Bh,1,6,2,10,0,0,female,33,1,21
2ZCzvMm755xkcD84D3Bh,1,26,6,10,0,0,female,33,1,22
2ZCzvMm755xkcD84D3Bh,1,9,3,4,0,0,female,33,1,23
2ZCzvMm755xkcD84D3Bh,1,12,3,8,0,0,female,33,1,24
2ZCzvMm755xkcD84D3Bh,1,2,2,5,0,0,female,33,1,25
2ZCzvMm755xkcD84D3Bh,1,3,2,6,0,0,female,33,1,26
2ZCzvMm755xkcD84D3Bh,1,32,9,11,0,0,female,33,1,27
2ZCzvMm755xkcD84D3Bh,1,21,5,6,0,0,female,33,1,28
2ZCzvMm755xkcD84D3Bh,1,27,6,12,0,0,female,33,1,29
2ZCzvMm755xkcD84D3Bh,1,29,8,12,0,0,female,33,1,30
2ZCzvMm755xkcD84D3Bh,1,14,3,12,0,0,female,33,1,31
